name,2022/10/23,2022/10/22,2022/10/21,2022/10/20,2022/10/19,2022/10/18,2022/10/17,2022/10/16,2022/10/15,2022/10/14,2022/10/13,2022/10/12,2022/10/11,2022/10/10,2022/10/09,2022/10/08
A powdered wig,25,30,26,26,17,38,21,75,13,33,23,25,45,15,18,15
Abyssal ashes,49429,12727,42531,17934,25112,48023,24501,41421,8833,45783,27831,49429,18635,21411,47147,33105
Abyssal bludgeon,1322,436,878,708,571,1466,763,1031,402,646,917,1322,655,616,1014,920
Abyssal bracelet(5),158943,52345,137602,77389,73517,170072,85610,112734,34946,80928,106652,158943,80801,79082,114975,97173
Abyssal dagger,568,175,373,301,209,521,299,336,161,271,355,568,264,292,412,345
Abyssal dagger (p),29,5,20,16,8,44,17,21,6,20,17,29,11,15,21,30
Abyssal dagger (p+),36,5,16,16,8,29,15,16,11,13,21,36,12,9,10,12
Abyssal dagger (p++),1287,437,1011,802,546,1557,760,1060,409,695,1051,1287,713,672,1043,963
Abyssal whip,7094,2395,4779,4014,2912,8070,4488,5368,1935,3213,5368,7094,3337,3424,5464,4683
Achey tree logs,6637,865,4410,6137,852,3246,9828,4841,891,1619,7040,6637,2352,3420,16377,9870
Acorn,56031,18876,42386,41343,21475,55237,31900,46180,12611,35915,52374,56031,24481,31503,45161,27810
Adamant 2h sword,18247,4582,13524,13869,6434,16532,8923,9780,3308,9086,9626,18247,8296,8247,14109,13127
Adamant arrow,16861098,4684140,13809974,10019301,6385526,16903511,8476419,11119392,3325151,7740372,11822990,16861098,7117666,7295396,12290533,10221423
Adamant arrow(p),1185,264,1032,83,88,1303,2055,935,401,856,2159,1185,25,130,1607,3083
Adamant arrow(p+),468,0,0,3465,1400,11600,0,600,1401,2143,16669,468,702,504,660,189
Adamant arrow(p++),192688,68331,272459,122863,93373,243695,66764,142122,28040,63624,61450,192688,98821,34699,157701,81735
Adamant arrowtips,1381675,265925,1179172,712803,463090,1388653,663938,903478,305995,700161,935444,1381675,436086,600632,981904,958141
Adamant axe,7673,3661,6918,4299,3168,7244,4344,6881,2517,3493,5507,7673,4468,3344,4805,4648
Adamant battleaxe,16666,6296,10089,8420,6117,18846,7075,14760,4552,8247,12282,16666,9733,7749,11289,9096
Adamant bolts,3484739,1210334,2435438,2079057,1446661,3279376,2023282,2145941,684507,1465360,2295061,3484739,1458932,1521409,2543584,2304119
Adamant bolts (p),2064,737,3236,3244,1422,5661,5365,1432,5900,5504,711,2064,211,1084,1117,1939
Adamant bolts (p+),197,551,868,60,1100,4795,335,218,1835,1,0,197,8,531,777,9
Adamant bolts (p++),16680,936,4251,3175,370,5027,657,3092,650,604,4262,16680,633,4760,6151,5958
Adamant bolts(unf),1199220,698834,1591040,1236558,840940,1456146,597027,1050809,338340,410723,661533,1199220,613403,813064,1239861,1042972
Adamant boots,1457,320,869,738,344,1125,641,1874,291,666,1237,1457,1371,622,1088,1165
Adamant brutal,148637,66017,83425,108501,49661,145248,96269,109433,45326,88897,93390,148637,83458,56417,121248,109620
Adamant cane,79,11,29,49,21,62,40,47,14,29,59,79,34,18,42,43
Adamant chainbody,7523,1877,3572,4188,2267,7271,3442,7138,1765,3253,4819,7523,2506,2942,6727,4477
Adamant claws,24,2,22,2,3,34,4,13,1,7,11,24,1,6,176,33
Adamant crossbow,1696,227,591,793,387,820,406,947,415,777,877,1696,389,376,611,470
Adamant crossbow (u),93,93,95,50,338,57,79,422,11,158,44,93,116,142,108,254
Adamant dagger,6674,2286,2871,3808,3152,8743,3537,6007,3041,2176,6332,6674,2553,1654,3361,5075
Adamant dagger(p),0,4,12,2,7,2,0,0,125,0,1,0,1,0,1,4
Adamant dagger(p+),2,1,1,1,0,0,0,1,0,0,0,2,0,0,2,1
Adamant dagger(p++),16,3,13,6,3,17,4,8,1,5,5,16,9,2,7,6
Adamant dart,21698261,7836260,18917915,13084664,8408297,22187049,11687295,16583609,5437674,10494062,14940988,21698261,11197761,11199502,17583885,16033932
Adamant dart tip,12485137,5163332,10426993,8765742,5336084,14032979,7296688,8588087,3525189,6282098,8750668,12485137,6494104,6451322,10548535,7952441
Adamant dart(p),78119,33923,81621,56284,27188,67693,56904,62135,9882,29707,33863,78119,25376,18435,28132,28174
Adamant dart(p+),1000,708,111,116,9911,600,1500,1412,5,47,99,1000,10,395,28,0
Adamant dart(p++),10299,9579,12476,2001,5012,12022,8708,2021,5,2274,6532,10299,7923,2625,2400,1417
Adamant dragon mask,31,6,21,14,9,30,14,41,4,14,22,31,15,6,16,34
Adamant full helm,27283,7587,21567,14139,9709,26596,15712,19139,6093,15290,21761,27283,8479,9750,21480,20473
Adamant full helm (g),248,133,174,192,90,211,124,182,55,64,229,248,83,111,189,113
Adamant full helm (t),126,55,83,82,51,95,57,59,23,56,91,126,58,39,79,74
Adamant gold-trimmed set (lg),175,100,132,100,53,162,70,101,52,107,142,175,87,58,162,135
Adamant gold-trimmed set (sk),31,6,28,10,6,22,12,25,5,12,15,31,29,18,34,30
Adamant halberd,208,84,180,136,85,309,123,146,57,104,161,208,125,100,155,214
Adamant hasta,101,27,91,50,54,202,57,40,19,55,157,101,31,199,196,242
Adamant hasta(p),278,0,0,0,0,0,0,0,0,0,0,278,0,100,8,0
Adamant hasta(p+),144,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0
Adamant hasta(p++),0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0
Adamant helm (h1),144,103,256,71,34,84,44,146,16,49,67,144,52,39,232,45
Adamant helm (h2),538,19,40,37,86,150,252,38,8,26,73,538,97,681,67,51
Adamant helm (h3),71,21,50,56,29,59,31,33,13,24,53,71,35,68,49,36
Adamant helm (h4),116,16,45,47,18,62,28,71,10,51,103,116,156,30,70,35
Adamant helm (h5),2802,32,53,28,22,69,53,81,13,34,4873,2802,35,54,34,66
Adamant javelin,198601,49420,142712,105029,98544,193593,100010,138719,32351,90720,161079,198601,105008,82488,136662,114207
Adamant javelin heads,20724,11148,10722,9442,5870,33210,8820,9307,3516,7092,23548,20724,14134,8895,11883,10807
Adamant javelin(p),0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0
Adamant javelin(p+),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adamant javelin(p++),80,0,0,0,0,0,0,0,0,0,15,80,0,0,0,0
Adamant kiteshield,21559,7115,12539,10077,6318,22780,14797,14976,5709,7703,13952,21559,7433,7888,17523,12070
Adamant kiteshield (g),222,82,145,160,81,173,85,180,60,95,173,222,111,100,154,103
Adamant kiteshield (t),160,46,101,69,35,285,61,165,22,46,98,160,79,64,58,64
Adamant knife,19228,11615,13169,16711,29863,39467,19237,32304,8703,7436,23377,19228,15946,21293,24425,9855
Adamant knife(p),10,1,0,0,4,10,0,550,0,0,0,10,0,0,0,14
Adamant knife(p+),46,0,94,0,1,92,0,10,0,0,0,46,0,9,0,162
Adamant knife(p++),948,69,0,358,52,424,0,706,114,82,144,948,0,2435,1067,82
Adamant longsword,3835,1263,3819,2533,1572,5388,3075,3460,2317,5609,3496,3835,1539,3781,5142,4844
Adamant mace,2881,690,2419,1128,857,2696,1311,3143,946,1365,1451,2881,2829,784,2212,3394
Adamant med helm,4722,884,3413,2414,997,4653,3344,3027,966,1159,1820,4722,3115,1104,1902,1626
Adamant pickaxe,3398,1134,2789,2528,1468,4078,1888,2647,728,1860,3435,3398,1513,1661,3106,2568
Adamant platebody,403966,194834,304404,234428,162036,441687,212668,345747,130168,212406,356156,403966,284798,241151,347038,284488
Adamant platebody (g),199,80,152,153,69,206,118,218,81,151,131,199,100,101,166,123
Adamant platebody (h1),58,19,44,37,23,59,23,48,7,38,52,58,30,26,34,35
Adamant platebody (h2),55,18,31,29,16,51,21,49,11,28,71,55,39,33,44,29
Adamant platebody (h3),58,13,42,36,18,69,28,41,15,37,38,58,24,21,50,28
Adamant platebody (h4),99,23,24,32,21,65,22,41,10,47,61,99,43,29,41,34
Adamant platebody (h5),102,16,40,61,19,75,39,50,12,34,78,102,40,29,66,51
Adamant platebody (t),113,22,76,50,51,95,58,214,20,61,97,113,81,41,69,71
Adamant platelegs,21398,6799,16654,16811,8149,25802,11878,14477,4907,13243,19307,21398,8959,9991,15976,15825
Adamant platelegs (g),177,46,179,138,62,142,95,168,48,103,180,177,71,79,159,81
Adamant platelegs (t),106,25,78,58,26,96,111,103,15,43,164,106,49,39,75,58
Adamant plateskirt,5610,589,3269,1023,811,1903,921,1018,303,711,2321,5610,851,900,935,1867
Adamant plateskirt (g),97,78,56,68,34,79,40,58,15,42,72,97,30,37,47,57
Adamant plateskirt (t),65,18,77,31,28,62,28,39,13,25,54,65,20,21,33,42
Adamant scimitar,4756,2054,9085,4405,3223,8416,3455,10249,1926,3251,6776,4756,4019,2881,4606,4480
Adamant set (lg),647,268,494,465,264,719,389,515,148,369,574,647,398,404,786,542
Adamant set (sk),32,40,50,42,35,76,27,45,22,32,56,32,22,0,16,22
Adamant shield (h1),63,20,35,43,26,65,32,44,21,38,724,63,44,26,62,45
Adamant shield (h2),45,19,35,47,21,209,147,148,46,99,50,45,21,23,35,25
Adamant shield (h3),63,16,29,28,16,64,39,36,14,112,65,63,61,26,98,42
Adamant shield (h4),83,16,35,39,15,62,32,44,12,27,63,83,28,31,45,30
Adamant shield (h5),51,20,29,33,30,62,33,28,12,32,73,51,33,29,25,50
Adamant spear,929,399,1678,1538,740,2173,2064,3049,427,1046,2885,929,294,653,992,787
Adamant spear(p),615,227,780,276,269,1292,1461,456,228,335,2401,615,269,315,339,563
Adamant spear(p+),0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Adamant spear(p++),1,1,3,2,1,1,1,2,2,2,0,1,1,1,0,0
Adamant sq shield,3313,913,3011,2827,1527,4874,2356,3416,670,2384,1963,3313,1393,1266,2977,2171
Adamant sword,4538,613,1835,1696,1386,1861,977,800,224,823,5188,4538,1050,615,1793,822
Adamant thrownaxe,23,20,1,0,100,50,0,54,3,0,0,23,86,0,217,0
Adamant trimmed set (lg),23,25,60,40,22,89,59,54,10,19,18,23,15,19,44,41
Adamant trimmed set (sk),0,2,0,0,0,0,0,2,0,0,0,0,0,3,6,4
Adamant warhammer,2446,990,3667,1406,1039,7014,2671,1654,433,1380,2158,2446,1118,1767,6512,4739
Adamantite bar,7488664,2503878,5923808,3911916,2926058,7723746,3500746,4766818,1764006,3259484,4346994,7488664,3126448,3177004,5155087,4618611
Adamantite limbs,323,2,59,100,13,0,55,130,0,9,10,323,9,301,35,12
Adamantite nails,147887,18738,77922,79521,53447,135858,79832,106720,36555,188958,112853,147887,57511,25620,97780,70464
Adamantite ore,6581664,2194164,4749732,3396727,2528961,6748091,3520534,4323253,1529244,2875566,4109124,6581664,2821559,3011521,4412721,3626963
Admiral pie,41024,6342,18081,16536,9239,40487,19911,20186,10931,14294,16814,41024,20686,8278,33275,32099
Afro,28,13,14,27,8,34,14,20,9,12,26,28,18,14,19,34
Agility mix(1),1,0,2,3,1,1,0,1,0,0,4,1,2,1,2,1
Agility mix(2),121,55,83,127,19,1109,28,207,14,3,16,121,460,85,1002,8
Agility potion(1),351,90,923,694,80,715,263,3498,30,102,905,351,117,129,59,911
Agility potion(2),711,11,2106,139,29,247,29,60,25,17,274,711,8,14,33,26
Agility potion(3),4547,1255,6066,2462,740,4551,2681,2010,620,987,1838,4547,2948,944,3934,1859
Agility potion(4),12846,3392,7568,4851,5768,8694,6856,7763,6294,4712,10276,12846,6693,5233,9237,7046
Ahrim's armour set,299,124,245,195,159,397,216,301,102,217,302,299,204,203,289,285
Ahrim's hood,892,275,664,549,423,993,495,723,228,413,705,892,444,424,599,581
Ahrim's hood 0,106,46,65,64,58,107,54,87,31,54,99,106,72,69,82,74
Ahrim's robeskirt,2601,759,1681,1371,1126,2771,1536,1877,689,1207,1800,2601,1280,1207,2023,1705
Ahrim's robeskirt 0,307,114,224,162,140,338,142,237,77,154,208,307,126,119,200,159
Ahrim's robetop,2394,742,1677,1373,1084,2809,1517,1846,722,1140,1786,2394,1244,1197,1991,1598
Ahrim's robetop 0,292,91,220,161,127,333,140,232,83,149,204,292,115,111,191,158
Ahrim's staff,1281,443,1168,948,655,1624,708,1044,380,788,1044,1281,601,699,879,888
Ahrim's staff 0,570,183,345,376,242,541,226,284,100,266,381,570,255,241,297,316
Air battlestaff,3356767,1276282,2572737,2102828,1485899,3638670,1660814,2537694,1019562,1835555,2775004,3356767,1681056,1958343,3088269,2389103
Air orb,12314074,1575446,4329821,3760011,2453028,6412601,3070818,5361016,2183276,2158188,3877296,12314074,5574337,6246747,8916885,6154605
Air rune,128071773,44606702,92794523,70045068,56095957,153509209,65622759,96081749,31143820,64798511,104331628,128071773,57689032,51837528,102589180,91041341
Air talisman,33721,54814,164346,68620,10577,77463,17240,82902,32227,18074,102251,33721,31623,25006,42149,50848
Air tiara,7723,2094,6543,2854,689,6841,3686,1625,776,1662,4588,7723,3813,4326,5999,4297
Airtight pot,150,48,73,41,61,246,105,213,49,34,74,150,48,51,81,48
Ale of the gods,176,61,111,88,84,164,96,136,32,89,94,176,70,70,135,78
Ale yeast,880,677,357,581,121,1175,668,1047,361,664,347,880,629,203,496,429
Amethyst,844792,232747,599445,447663,290105,766390,466160,639229,187577,307622,494807,844792,377827,398314,578590,373817
Amethyst arrow,7166905,3047690,6232460,4656239,3316026,8224441,4644806,7087467,2132055,3732070,5074451,7166905,3498095,3874099,6166172,4224803
Amethyst arrow(p),31140,22765,34963,28658,11574,22964,19745,25459,13526,21370,26133,31140,22989,9773,46399,40197
Amethyst arrow(p+),5040,6532,9184,7085,1752,5851,2235,3650,1329,1434,1606,5040,1657,2021,2145,5029
