name,price,volume
A powdered wig,21957,25
Abyssal ashes,2518,49429
Abyssal bludgeon,12658595,1322
Abyssal bracelet(5),2213,158943
Abyssal dagger,2592839,568
Abyssal dagger (p),3228701,29
Abyssal dagger (p+),3376172,36
Abyssal dagger (p++),2597173,1287
Abyssal whip,1668509,7094
Achey tree logs,304,6637
Acorn,51,56031
Adamant 2h sword,3477,18247
Adamant arrow,19,16861098
Adamant arrow(p),153,1185
Adamant arrow(p+),449,468
Adamant arrow(p++),26,192688
Adamant arrowtips,79,1381675
Adamant axe,490,7673
Adamant battleaxe,2663,16666
Adamant bolts,173,3484739
Adamant bolts (p),385,2064
Adamant bolts (p+),618,197
Adamant bolts (p++),1135,16680
Adamant bolts(unf),195,1199220
Adamant boots,1270,1457
Adamant brutal,276,148637
Adamant cane,1686,79
Adamant chainbody,2822,7523
Adamant claws,1180,24
Adamant crossbow,1212,1696
Adamant crossbow (u),1259,93
Adamant dagger,317,6674
Adamant dagger(p),490,0
Adamant dagger(p+),2011,2
Adamant dagger(p++),3987,16
Adamant dart,26,21698261
Adamant dart tip,192,12485137
Adamant dart(p),42,78119
Adamant dart(p+),372,1000
Adamant dart(p++),729,10299
Adamant dragon mask,8968,31
Adamant full helm,1817,27283
Adamant full helm (g),10169,248
Adamant full helm (t),3469,126
Adamant gold-trimmed set (lg),83919,175
Adamant gold-trimmed set (sk),94336,31
Adamant halberd,12789,208
Adamant hasta,914,101
Adamant hasta(p),5114,278
Adamant hasta(p+),6437,144
Adamant hasta(p++),7639,0
Adamant helm (h1),3377,144
Adamant helm (h2),1937,538
Adamant helm (h3),2058,71
Adamant helm (h4),2781,116
Adamant helm (h5),2692,2802
Adamant javelin,68,198601
Adamant javelin heads,132,20724
Adamant javelin(p),188,0
Adamant javelin(p+),181,0
Adamant javelin(p++),337,80
Adamant kiteshield,2940,21559
Adamant kiteshield (g),11854,222
Adamant kiteshield (t),2963,160
Adamant knife,353,19228
Adamant knife(p),559,10
Adamant knife(p+),764,46
Adamant knife(p++),1083,948
Adamant longsword,1636,3835
Adamant mace,577,2881
Adamant med helm,909,4722
Adamant pickaxe,1661,3398
Adamant platebody,9504,403966
Adamant platebody (g),36389,199
Adamant platebody (h1),9486,58
Adamant platebody (h2),9448,55
Adamant platebody (h3),9577,58
Adamant platebody (h4),9500,99
Adamant platebody (h5),9416,102
Adamant platebody (t),9486,113
Adamant platelegs,3493,21398
Adamant platelegs (g),7409,177
Adamant platelegs (t),3866,106
Adamant plateskirt,3658,5610
Adamant plateskirt (g),4400,97
Adamant plateskirt (t),3323,65
Adamant scimitar,1443,4756
Adamant set (lg),19650,647
Adamant set (sk),24629,32
Adamant shield (h1),3079,63
Adamant shield (h2),2927,45
Adamant shield (h3),2882,63
Adamant shield (h4),2919,83
Adamant shield (h5),2833,51
Adamant spear,886,929
Adamant spear(p),869,615
Adamant spear(p+),1868,0
Adamant spear(p++),5113,1
Adamant sq shield,1972,3313
Adamant sword,996,4538
Adamant thrownaxe,333,23
Adamant trimmed set (lg),40417,23
Adamant trimmed set (sk),55831,0
Adamant warhammer,3033,2446
Adamantite bar,1933,7488664
Adamantite limbs,1772,323
Adamantite nails,125,147887
Adamantite ore,1221,6581664
Admiral pie,153,41024
Afro,174351,28
Agility mix(1),593,1
Agility mix(2),314,121
Agility potion(1),86,351
Agility potion(2),194,711
Agility potion(3),226,4547
Agility potion(4),359,12846
Ahrim's armour set,7394820,299
Ahrim's hood,44692,892
Ahrim's hood 0,21096,106
Ahrim's robeskirt,3043934,2601
Ahrim's robeskirt 0,2897232,307
Ahrim's robetop,4142598,2394
Ahrim's robetop 0,4009214,292
Ahrim's staff,113861,1281
Ahrim's staff 0,52547,570
Air battlestaff,8906,3356767
Air orb,1336,12314074
Air rune,5,128071773
Air talisman,66,33721
Air tiara,10,7723
Airtight pot,1368,150
Ale of the gods,290044,176
Ale yeast,896,880
Amethyst,4554,844792
Amethyst arrow,268,7166905
Amethyst arrow(p),374,31140
Amethyst arrow(p+),528,5040
Amethyst arrow(p++),972,48180
Amethyst arrowtips,297,2394645
Amethyst bolt tips,281,492862
Amethyst broad bolts,311,1108558
Amethyst dart,467,12285685
Amethyst dart tip,567,6845888
Amethyst dart(p),617,2845
Amethyst dart(p+),633,111
Amethyst dart(p++),926,14515
Amethyst javelin,337,30508
Amethyst javelin heads,797,31008
Amethyst javelin(p),852,65
Amethyst javelin(p+),920,0
Amethyst javelin(p++),1218,230
Amulet mould,136,1050
Amulet of accuracy,1316,884
Amulet of avarice,458666,4181
Amulet of bounty,906,868
Amulet of chemistry,1028,93717
Amulet of defence,859,40841
Amulet of defence (t),6714,140
Amulet of eternal glory,39989676,101
Amulet of fury,2222114,7210
Amulet of glory,10785,175085
Amulet of glory (t4),35281,81
Amulet of glory (t6),48401,202
Amulet of glory (t),35041,133
Amulet of glory(4),11195,17072
Amulet of glory(6),11634,207686
Amulet of magic,682,22677
Amulet of magic (t),17422,275
Amulet of power,2027,73051
Amulet of power (t),733293,187
Amulet of strength,1230,88003
Amulet of the damned (full),34745,1192
Amulet of torture,14513834,6685
Amylase crystal,904,4362551
Ancestral hat,12318597,1072
Ancestral robe bottom,101417921,764
Ancestral robe top,124699843,745
Ancestral robes set,238359382,143
Anchovies,63,33783
Anchovy pizza,603,126831
Ancient blessing,6206,908
Ancient bracers,39738,333
Ancient brew(1),614,291
Ancient brew(2),1163,80
Ancient brew(3),1319,24668
Ancient brew(4),1180,83772
Ancient ceremonial boots,23231,227
Ancient ceremonial gloves,22913,257
Ancient ceremonial legs,47159,278
Ancient ceremonial mask,29209,291
Ancient ceremonial top,59018,297
Ancient chaps,224370,881
Ancient cloak,13648,367
Ancient coif,54398,467
Ancient crozier,6394,93
Ancient crystal,150590,1463
Ancient d'hide body,150234,797
Ancient d'hide boots,364676,921
Ancient d'hide shield,197603,68
Ancient dragonhide set,518620,117
Ancient effigy,7983096,398
Ancient emblem,498439,4025
Ancient full helm,48113,161
Ancient godsword,31722428,606
Ancient hilt,37391870,8
Ancient kiteshield,44374,221
Ancient mace,1964,381
Ancient medallion,3988806,369
Ancient mitre,25754,360
Ancient mix(1),750,0
Ancient mix(2),1493,5
Ancient page 1,13665,490
Ancient page 2,14104,526
Ancient page 3,13326,558
Ancient page 4,14754,488
Ancient platebody,45108,180
Ancient platelegs,46140,136
Ancient plateskirt,38050,174
Ancient relic,15969009,357
Ancient robe legs,84025,133
Ancient robe top,69640,151
Ancient rune armour set (lg),199920,324
Ancient rune armour set (sk),209047,47
Ancient staff,60349,3977
Ancient statuette,1991835,766
Ancient stole,2194,117
Ancient totem,998262,4086
Ancient wyvern shield,15030561,271
Anglerfish,1556,2836809
Anguish ornament kit,7024599,527
Ankou gloves,3386152,66
Ankou mask,5529649,86
Ankou socks,2019495,58
Ankou top,17019691,83
Ankou's leggings,7768782,77
Annakarl teleport,1692,24133
Anti-dragon shield,111,50652
Anti-poison supermix(1),176,4
Anti-poison supermix(2),274,836
Anti-venom(1),1090,1633
Anti-venom(2),2555,368
Anti-venom(3),3290,865
Anti-venom(4),5438,143306
Anti-venom+(1),3349,14396
Anti-venom+(2),6410,4406
Anti-venom+(3),9741,3277
Anti-venom+(4),11316,290766
Antidote+ mix(1),1267,0
Antidote+ mix(2),1882,162
Antidote+(1),672,106
Antidote+(2),1356,92
Antidote+(3),1894,1108
Antidote+(4),1980,4063
Antidote++(1),718,11158
Antidote++(2),1107,792
Antidote++(3),2244,2067
Antidote++(4),2386,441921
Antifire mix(1),290,27
Antifire mix(2),159,184
Antifire potion(1),102,6036
Antifire potion(2),207,1268
Antifire potion(3),314,79759
Antifire potion(4),434,226513
Antipoison mix(1),374,3
Antipoison mix(2),210,946
Antipoison(1),56,113
Antipoison(2),98,1141
Antipoison(3),140,14601
Antipoison(4),216,27654
Ape atoll teleport,3383,21013
Apple mush,180,0
Apple pie,110,18786
Apple sapling,172,8064
Apple tree seed,5,28715
Apples(5),1031,49415
Apprentice wand,708645,11
Arcane prayer scroll,1174518,417
Arcane sigil,102689243,287
Arcane spirit shield,102448479,464
Arceuus banner,846,81
Arceuus hood,9305,31
Arceuus library teleport,2494,5917
Arceuus scarf,7526,21
Archer helm,38993,2180
Archers ring,3541745,2877
Archery ticket,18,367170
Arctic pine logs,633,15144
Arctic pyre logs,1771,327
Ardougne teleport,400,262296
Arena book,868,6
Armadyl bracers,76735,424
Armadyl chainskirt,25539865,2187
Armadyl chaps,464674,796
Armadyl chestplate,34188849,2238
Armadyl cloak,17965,349
Armadyl coif,68300,572
Armadyl crossbow,31955223,1991
Armadyl crozier,5735,243
Armadyl d'hide body,262583,754
Armadyl d'hide boots,668183,865
Armadyl d'hide shield,305517,90
Armadyl dragonhide set,945125,119
Armadyl full helm,23446,125
Armadyl godsword,8573883,5192
Armadyl godsword ornament kit,179783,162
Armadyl helmet,8477690,1814
Armadyl hilt,8010197,40
Armadyl kiteshield,34352,224
Armadyl mitre,25726,302
Armadyl page 1,9613,423
